         86884 function calls (83281 primitive calls) in 32.940 CPU seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.001    0.001    0.021    0.021 _internal.py:10(<module>)
        1    0.000    0.000    0.000    0.000 _internal.py:170(_DictAccessorProperty)
       25    0.000    0.000    0.000    0.000 _internal.py:174(__init__)
        1    0.000    0.000    0.000    0.000 _internal.py:57(_Missing)
        2    0.000    0.000    0.000    0.000 _internal.py:75(_log)
        1    0.000    0.000    0.000    0.000 _parseaddr.py:155(AddrlistClass)
        1    0.000    0.000    0.000    0.000 _parseaddr.py:435(AddressList)
        1    0.000    0.000    0.000    0.000 _parseaddr.py:7(<module>)
        1    0.000    0.000    0.000    0.000 _saferef.py:35(<module>)
        1    0.000    0.000    0.000    0.000 _saferef.py:88(BoundMethodWeakref)
        1    0.000    0.000    0.000    0.000 _sorteddict.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _sorteddict.py:26(ItemsView)
        1    0.000    0.000    0.000    0.000 _sorteddict.py:49(ValuesView)
        1    0.000    0.000    0.000    0.000 _sorteddict.py:5(missingdict)
        1    0.000    0.000    0.000    0.000 _sorteddict.py:57(sorteddict)
        1    0.000    0.000    0.000    0.000 _sorteddict.py:9(KeysView)
        1    0.000    0.000    0.001    0.001 _sortedlist.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _sortedlist.py:10(ReprRecursion)
     1026    0.000    0.000    0.000    0.000 _sortedlist.py:168(__len__)
        2    0.000    0.000    0.000    0.000 _sortedlist.py:172(__iter__)
      514    0.000    0.000    0.000    0.000 _sortedlist.py:174(<genexpr>)
        1    0.000    0.000    0.000    0.000 _sortedlist.py:254(_weaksortedbase)
        1    0.000    0.000    0.000    0.000 _sortedlist.py:28(_sortedbase)
        1    0.000    0.000    0.000    0.000 _sortedlist.py:357(_listmixin)
        1    0.000    0.000    0.000    0.000 _sortedlist.py:408(_setmixin)
      514    0.000    0.000    0.002    0.000 _sortedlist.py:420(__iter__)
        4    0.000    0.000    0.000    0.000 _sortedlist.py:429(safe_cmp)
        1    0.000    0.000    0.000    0.000 _sortedlist.py:436(_setmixin2)
        1    0.000    0.000    0.000    0.000 _sortedlist.py:548(sortedlist)
        1    0.000    0.000    0.000    0.000 _sortedlist.py:580(weaksortedlist)
      512    0.000    0.000    0.000    0.000 _sortedlist.py:59(_i2u)
        1    0.000    0.000    0.000    0.000 _sortedlist.py:609(sortedset)
